title,references
"Impact of Rapid Entry and Accelerated Care at Triage on Reducing Emergency Department Patient Wait Times, Lengths of Stay, and Rate of Left Without Being Seen",C.M.B. Fernandes et al.Does reduced length of stay decrease the number of emergency department patients who leave without seeing a physician?J Emerg Med(1997)-::-J. Kennedy et al.Access to emergency care: restricted by long waiting times and cost and coverage concernsAnn Emerg Med(2004)-::-D. Hobbs et al.Hospital factors associated with emergency center patients leaving without being seenAm J Emerg Med(2000)-::-M.H. Gorelick et al.The effect of in-room registration on emergency department length of stayAnn Emerg Med(2005)-::-L.M. Stock et al.Patients who leave emergency departments without being seen by a physician: magnitude of the problem in Los Angeles CountyAnn Emerg Med(1994)-::-C.M. Fernandes et al.Use of continuous quality improvement to facilitate patient flow through the triage and fast track areas of an emergency departmentJ Emerg Med(1995)-::-S. Lambe et al.Waiting times in California's emergency departmentsAnn Emerg Med(2003)-::-D.W. Spaite et al.Rapid process redesign in a University-based emergency department: decreasing waiting time intervals and improving patient satisfactionAnn Emerg Med(2002)-::-US General Accounting OfficeHospital Emergency Departments: Crowded Conditions Vary Among Hospitals and Communities(2003)
Strategies for Dealing With Emergency Department Overcrowding: A One-Year Study on How Bedside Registration Affects Patient Throughput Times,S. Trudeau et al.Wireless bedside registration in the emergency departmentJ Emerg Nurs(1996)-::-D.N. Kyriacou et al.A 5-year time study analysis of emergency department patient care efficiencyAnn Emerg Med(1999)-::-M.H. Gorelick et al.The effect of in-room registration on emergency department length of stayAnn Emerg Med(2005)-::-Switching to bedside registration increases patient satisfactionED Manag(1997)
Direct-to-Room: One Department's Approach to Improving ED Throughput,B Pate et al.Solving emergency department overcrowding: successful approaches to a chronic problem(2004)-::-Joint Commission on Accreditation of Healthcare Organizations. New Leadership Standard on Managing Patient Flow...
The effect of in-room registration on emergency department length of stay,J. Kennedy et al.Access to emergency care: restricted by long waiting times and cost and coverage concernsAnn Emerg Med(2004)-::-D.W. Spaite et al.Rapid process redesign in a university-based emergency department: decreasing waiting time intervals and improving patient satisfactionAnn Emerg Med(2002)-::-S. Hoffenberg et al.Does sharing process differences reduce patient length of stay in the emergency department?Ann Emerg Med(2001)-::-B.R. Asplin et al.A conceptual model of emergency department crowdingAnn Emerg Med(2003)-::-R.J. Mazandi IsekeImproving emergency department flow-::-N.D. Magaret et al.Patient satisfaction in the emergency department: a survey of pediatric patients and their parentsAcad Emerg Med(2002)
Correlation between triage nurse and physician ordering of ED tests,"SP GormicanCRAM Scale: Field triage of trauma victimsAnn Emerg Med(1982)-::-RW Derlet et al.Refusing care to patients who present to an emergency departmentAnn Emerg Med(1990)-::-L Ropp et al.Radiograph ordering: Agreement between the triage nurse and the physician in a pediatric emergency departmentJ Emerg Med(1990)-::-TP Klassen et al.A randomized, controlled trial of radiograph ordering for extremity trauma in a pediatric emergency departmentAnn Emerg Med(1993)-::-CL McArthur et al.Comparison of triage nurses versus emergency physician ordering of extremity radiographsAm J Emerg Med(1995)-::-DA Berman et al.Computerized algorithm-directed triage in the emergency departmentAnn Emerg Med(1989)-::-DC Seaberg et al.Clinical decision rule for knee radiographsAm J Emerg Med(1994)"
Accuracy and efficiency of X-ray requests initiated by triage nurses in an accident and emergency department,C.L. McArthur et al.Comparison of triage nurse versus emergency physician ordering of extremity radiographsAmerican Journal of Emergency Medicine(1995)-::-Judy DaviesX-ray vision of shorter queuesNursing Times(1994)
Triage nurses order x-rays for patients with isolated distal limb injuries: A 12-month ED study,J DaviesNo problem! Establishing a nurse requested x-rays serviceAccid Emerg Nurs(1994)-::-J Harris et al.The lifeline of triageAccid Emerg Nurs(1996)-::-L McDonald et al.Triage: a literature review 1985-1993Accid Emerg Nurs(1995)-::-DC Seaberg et al.Correlation between triage nurse and physician ordering of ED testsAm J Emerg Med(1998)-::-W Parris et al.Management: Do triage nurse-initiated x-rays for limb injuries reduce patient transit time?Accid Emerg Nurs(1997)-::-D CampbellTriage nurse initiated x-rays for limb injuries are accurate and efficientEmerg Med(1995)-::-LP WoodsImplementing advanced practice: identifying the factors that facilitate and inhibit the processJ Clin Nurs(1998)
Effect of an automated chest radiograph at triage protocol on time to antibiotics in patients admitted with pneumonia,B.R. Asplin et al.A conceptual model of emergency department crowdingAnn Emerg Med(2003)-::-S.G. Rothrock et al.High yield criteria for obtaining non-trauma chest radiography in the adult emergency department populationJ Emerg Med(2002)-::-G.W. Waterer et al.Delayed administration of antibiotics and atypical presentation in community-acquired pneumoniaChest(2006)-::-Agency for Healthcare Research and QualityNational and regional statistics from the Nationwide Inpatient Sample (NIS)-::-C.J. DeFrances et al.2004 National Hospital Discharge Survey. Advance data from Vital and Health Statistics-::-P.M. Huock et al.Timing of antibiotic administration and outcomes for Medicare patients hospitalized with community-acquired pneumoniaArch Intern Med(2004)
Implementation of an ED Protocol for Pain Management at Triage at a Busy Level I Trauma Center,FSJ Blank et al.Adequacy of pain assessment and pain relief and correlation of patient satisfaction on 68 fast-track patientsJ Emerg Nurs(2001)-::-D WongWong on web: Young children's pain rating using the FACES pain rating scale with abbreviated word instructions [online] [retrieved 2003 Jun 1]
A Nurse-initiated Pain Management Advanced Triage Protocol for ED Patients With an Extremity Injury at a Level I Trauma Center,"P Tanabe et al.A prospective study of ED pain management practices and the patient perspectiveJ Emerg Nurs(1999)-::-Meunier-Sham J, Ryan K. Reducing pediatric pain during ED procedures with a nurse-driven protocol: an urban pediatric..."
Triage of patients for a rapid (5-minute) electrocardiogram: A rule based on presenting chief complaints,R Trent et al.Impact of resuscitation and thrombolysis on mortality rate from acute myocardial infarctionInt J Cardiol(1995)-::-ER Gonzalez et al.Hospital delays and problems with thrombolytic administration in patients receiving thrombolytic therapy: a multicenter prospective assessmentAnn Emerg Med(1992)-::-DJ Kereiakes et al.Time delays in the diagnosis and treatment of acute myocardial infarction: a tale of eight cities. Report from the pre-hospital study group and the cincinnati heart projectAm Heart J(1990)-::-P. CummingsImproving the time to thrombolytic therapy for myocardial infarction by using a quality assurance auditAnn Emerg Med(1992)-::-LG Graff et al.American College of Emergency Physicians Information Paper: chest pain units in emergency departments—a report from the short-term observation services sectionAm J Cardiol(1995)-::-RA Lowe et al.Rational ordering of serum electrolytes: development of clinical criteriaAnn Emerg Med(1987)-::-RE Jackson et al.Effect of a patient’s sex on the timing of thrombolytic therapyAnn Emerg Med(1996)-::-CE Saunders et al.Modeling emergency department operations using advanced computer stimulation systemsAnn Emerg Med(1989)-::-TH Lee et al.Clinical characteristics and natural history of patients with acute myocardial infarction sent home from the emergency roomAm J Cardiol(1987)-::-DB Foster et al.Prehospital recognition of AMI using independent nurse/paramedic 12 lead ECG evalutaion: impact on in-hospital times to thrombolysis in a rural community hospitalAm J Emerg Med(1994)-::-JG Canto et al.The prehospital electrocardiogram in acute myocardial infarction: is its full potential being realized?J Am Coll Cardiol(1997)
Evaluation of a ‘see and treat’ pilot study introduced to an emergency department,"British Association for Accident and Emergency Medicine, 1996. A standard scale for...-::-M.W. Cooke et al.The effect of a separate stream for minor injuries on accident and emergency waiting timesEmerg. Med. J.(2002)-::-Department of Health, 2001a. Reforming Emergency..."
Fast track: Urgent care within a teaching hospital emergency department: Can it work?,GregoryD  et al.Emergency services: A strategy for hospital-sponsored ambulatory care satellitesHospital and Health Services Administration(1984)-::-McMillanJR  et al.Consumer opinions of emergency room medical careUrban Health(1984)McMillanJR  et al.Consumer opinions of emergency room medical careUrban Health(1984)-::-McMillanJR  et al.Reasons patients select one hospital ER over anotherHospital Topics(1985)-::-McMillanJR  et al.Satisfaction with hospital emergency department as a function of patient triageHealth Care Manage Rev(1986)
Effects of a fast-track area on emergency department performance,C.M.B. Fernandes et al.Does reduced length of stay decrease the number of emergency department patients who leave without seeing a physician?J Emerg Med(1997)-::-S. Cardin et al.Intervention to decrease emergency department crowdingdoes it have an effect on return visits and hospital readmissions?Ann Emerg Med(2003)-::-S. Lambe et al.Waiting times in California’s emergency departmentsAnn Emerg Med(2003)-::-D.W. Spaite et al.Rapid process redesign in a university-based emergency departmentdecreasing waiting time intervals and improving patient satisfactionAnn Emerg Med(2002)-::-H.W. Meislin et al.Fast track: urgent care within a teaching hospital emergency department: can it work?Ann Emerg Med(1988)
Evaluation of the Fast Track Unit of a University Emergency Department,AB Docimo et al.Using online and office change model to improve efficiency for fast-track patients in emergency departmentJt Comm J Qual Improv(2000)-::-HK Simon et al.Societal savings by “fast-track” lowering acuity patients in an urban pediatric emergency departmentAm J Emerg Med(1997)-::-TP Tran et al.Provision of clinically based information improves patients' perceived length of stay and satisfaction with EPAm J Emerg Med(2002)-::-F Counselman et al.Patient satisfaction with physician assistants in an ED fast trackAm J Emerg Med(2000)-::-CM Fernandes et al.Does reduced length of stay decrease the number of emergency department patients who leave without seeing a physician?J Emerg Med(1997)-::-J O'DriscollChanging the face of emergency medicinePhysician Executive(2004)-::-MW Cooke et al.The effect of separate stream for minor injuries on accident and emergency department waiting timesEmerg Med J(2002)-::-S Siddiqui et al.Utilization of emergency services in a community hospitalSaudi Med J(2001)
“Fast tracking” patients in an urban pediatric emergency department,HW Meislin et al.Fast track: Urgent care within a teaching hospital emergency department: Can it work?Ann Emerg Med(1988)-::-L BellProviding primary care to children in the emergency department: A problem or a missed opportunity?Pediatr Emerg Care(1991)-::-V CrowderDefining emergency medicine: Are we generalists or specialist?Ann Emerg Med(1994)-::-LM Bell et al.Potential impact of linking an emergency department and hospital affiliated clinics to immunize pre-school-age childrenPediatrics(1994)-::-LM Bell et al.Primary care in the emergency department (editorial reply)Pediatrics(1994)-::-FI Snell et al.Factors in chosing an urgent care center versus an emergency departmentJ Emerg Nurs(1987)
The Next-Generation Emergency Department,"CK Haston et al.Ultrasonic measurements of breathing rate in rats and computer assisted analysisInt J Radiat Oncol Biol Phys(1993)-::-S Tierney et al.Infrared optoelectronic volumetry: The ideal way to measure limb volumeEur J Vasc Endovasc Surg(1996)-::-WM Tierney et al.Demonstrating the effects of an IAIMS on health care quality and costJ Am Med Inform Assoc(1997)-::-CJ McDonaldThe barriers to electronic medical record systems and how to overcome themJ Am Med Inform Assoc(1997)-::-RA MillerMedical diagnostic decision support systems—past, present, and future: A threaded bibliography and brief commentaryJ Am Med Inform Assoc(1994)-::-K Inamura et al.Time and flow study results before and after installation of a hospital information system and radiology information system and before clinical use of a picture archiving and communication systemJ Digit Imaging(1997)-::-SH Butch et al.Electronic verification of donor-recipient compatibility: The computer crossmatchTransfusion(1994)-::-M HammerReengineering work: Don’t automate, obliterateHarvard Business Review(1990)-::-A CooperAbout Face: The Essentials of User Interface Design(1995)"
Accuracy of Staff-Initiated Emergency Department Tracking System Timestamps in Identifying Actual Event Times,E. Antman et al.ACC/AHA guidelines for the management of patients with ST-elevation myocardial infarction: a report of the American College of Cardiology/American Heart Association Task Force on Practice Guidelines (Committee to Revise the 1999 Guidelines for the Management of Patients With Acute Myocardial Infarction)J Am Coll Cardiol(2004)-::-D.B. Diercks et al.Frequency and consequences of recording an electrocardiogram >10 minutes after arrival in an emergency room in non-ST-segment elevation acute coronary syndromes (from the CRUSADE Initiative)Am J Cardiol(2006)-::-L.T. Kohn et al.To Err Is Human: Building a Safer Health System(2000)-::-Crossing the Quality Chasm: A New Health System for the 21st Century(2001)
Supporting Patient Care in the Emergency Department with a Computerized Whiteboard System,"W.H. Cordell et al.Strategies for improving information management in emergency medicine to meet clinical, research, and administrative needsThe Information Management Work GroupAnn Emerg Med(1998)-::-R.W. DerletOvercrowding in emergency departments: increased demand and decreased capacityAnn Emerg Med(2002)-::-R.W. Derlet et al.Overcrowding in the nation’s emergency departments: complex causes and disturbing effectsAnn Emerg Med(2000)-::-S. Lambe et al.Trends in the use and capacity of California’s emergency departments, 1990–1999Ann Emerg Med(2002)-::-J. Fordyce et al.Errors in a busy emergency departmentAnn Emerg Med(2003)-::-J.S. Shapiro et al.Approaches to patient health information exchange and their impact on emergency medicineAnn Emerg Med(2006)-::-B.R. Asplin et al.A conceptual model of emergency department crowdingAnn Emerg Med(2003)-::-L.I. Solberg et al.Emergency department crowding: consensus development of potential measuresAnn Emerg Med(2003)-::-Y. XiaoArtifacts and collaborative work in healthcare: methodological, theoretical, and technological implications of the tangibleJ Biomed Inform(2005)-::-E. BogerElectronic tracking board reduces ED patient length of stay at Indiana HospitalJ Emerg Nurs(2003)-::-D. HorakDesigning and implementing a computerized tracking system: the experience at one level I trauma center emergency departmentJ Emerg Nurs(2000)-::-J.M. Overhage et al.A randomized, controlled trial of clinical information shared from another institutionAnn Emerg Med(2002)-::-G. Hripcsak et al.Emergency department access to a longitudinal medical recordJ Am Med Inform Assoc(2007)-::-D.J. France et al.Emergency physicians’ behaviors and workload in the presence of an electronic whiteboardInt J Med Inform(2005)-::-R. Spencer et al.Variation in communication loads on clinical staff in the emergency departmentAnn Emerg Med(2004)-::-C.D. Chisholm et al.Work interrupted: a comparison of workplace interruptions in emergency departments and primary care officesAnn Emerg Med(2001)-::-A. Laxmisan et al.The multitasking clinician: Decision-making and cognitive demand during and after team handoffs in emergency careInt J Med Inform(2007)-::-R.J. Fairbanks et al.Emergency Department Communication Links and PatternsAnn Emerg Med(2007)-::-N.R. Hoot et al.Measuring and forecasting emergency department crowding in real timeAnn Emerg Med(2007)-::-R.A. Miller et al.The anatomy of decision support during inpatient care provider order entry (CPOE): empirical observations from a decade of CPOE experience at VanderbiltJ Biomed Inform(2005)-::-R.K. Knopp et al.Confidentiality in the emergency departmentEmerg Med Clin North Am(1999)-::-J.C. Moskop et al.From Hippocrates to HIPAA: privacy and confidentiality in emergency medicine—Part II: Challenges in the emergency departmentAnn Emerg Med(2005)-::-E.N. Barthell et al.The Frontlines of Medicine Project Progress Report: Standardized Communication of Emergency Department Triage Data for Syndromic SurveillanceAnn Emerg Med(2004)-::-F.C. Day et al.Automated linking of free-text complaints to reason-for-visit categories and International Classification of Diseases diagnoses in emergency department patient record databasesAnn Emerg Med(2004)-::-K. Buller-Close et al.Heterogeneous effect of an Emergency Department Expert Charting SystemAnn Emerg Med(2003)-::-W.W. Chapman et al.Classification of emergency department chief complaints into 7 syndromes: a retrospective analysis of 527,228 patientsAnn Emerg Med(2005)-::-D.L. Sanders et al.Identifying asthma exacerbations in a pediatric emergency department: A feasibility studyInt J Med Inform(2007)-::-T.B. TaylorInformation management in the emergency departmentEmerg Med Clin North Am(2004)-::-S. Levin et al.Shifting toward balance: measuring the distribution of workload among emergency physician teamsAnn Emerg Med(2007)-::-M.S. Smith et al.The next-generation emergency departmentAnn Emerg Med(1998)"
